Age,Education,hourspw
39,13,40
50,13,13
38,9,40
53,7,40
28,13,40
37,14,40
49,5,16
52,9,45
31,14,50
42,13,40
37,10,80
30,13,40
23,13,30
32,12,50
40,11,40
34,4,45
25,9,35
32,9,40
38,7,50
43,14,45
40,16,60
54,9,20
35,5,40
43,7,40
59,9,40
56,13,40
19,9,40
54,10,60
39,9,80
49,9,40
23,12,52
20,10,44
45,13,40
30,10,40
22,10,15
48,7,40
21,10,40
19,9,25
31,10,38
48,12,40
31,5,43
53,13,40
24,13,50
49,9,40
25,9,35
57,13,40
53,9,38
44,14,40
41,11,40
29,11,43
25,10,40
18,9,30
47,15,60
50,13,55
47,9,60
43,10,40
46,3,40
35,11,40
41,9,48
30,9,40
30,13,40
32,4,40
48,9,40
42,16,45
29,10,58
36,9,40
28,10,40
53,9,40
49,10,50
25,10,40
19,10,32
31,13,40
29,13,70
23,10,40
79,10,20
27,9,40
40,12,40
67,6,2
18,7,22
31,4,40
18,9,30
52,13,40
46,9,40
59,9,48
44,9,40
53,9,35
49,9,40
33,14,50
30,5,40
43,16,50
57,11,40
37,10,40
28,10,25
30,9,35
34,13,40
29,10,50
48,16,60
37,10,48
48,12,40
32,9,40
76,14,40
44,13,60
47,14,50
20,10,40
29,9,40
32,9,40
17,6,32
30,7,40
31,9,40
42,9,40
24,13,40
38,15,40
56,9,50
28,10,25
36,9,40
53,5,50
56,10,50
49,11,40
55,10,56
22,9,41
21,10,40
40,13,60
30,13,40
29,13,50
19,10,35
47,13,40
20,10,28
31,12,40
35,9,40
39,10,40
28,12,60
24,9,40
38,9,35
37,13,50
46,12,36
38,14,40
43,9,60
27,11,35
20,10,20
49,10,40
61,9,40
27,10,40
19,10,30
45,11,40
70,10,40
31,9,30
22,10,24
36,9,24
64,7,40
43,10,40
47,10,38
34,9,40
33,13,40
21,9,35
52,9,45
48,9,46
23,13,40
71,10,2
29,9,60
42,13,50
68,2,20
25,9,40
44,14,40
28,9,40
45,14,40
36,10,40
39,12,42
46,14,40
18,7,16
66,11,20
27,9,40
28,9,40
51,10,40
27,13,50
28,13,40
27,9,25
21,9,40
34,9,40
18,9,12
33,13,65
44,10,38
43,10,40
30,10,45
40,4,40
37,10,42
34,9,40
41,13,40
53,13,50
31,14,50
58,16,1
38,10,28
24,10,40
41,13,40
47,10,45
41,13,24
23,3,40
36,10,40
40,14,55
35,14,40
24,9,40
26,14,40
19,9,40
51,13,50
42,10,40
37,9,35
18,7,40
36,13,36
35,9,60
58,9,35
17,7,12
44,9,40
37,9,40
35,10,40
60,9,40
54,4,40
37,13,60
50,12,40
38,13,50
45,13,55
25,6,40
31,10,40
64,2,40
90,9,40
54,9,20
53,1,35
18,9,40
60,6,10
66,9,50
75,11,20
65,9,40
35,7,40
41,9,38
25,10,42
33,10,40
28,15,55
59,9,40
40,10,38
41,13,50
38,14,70
23,9,40
40,13,40
41,9,20
24,12,50
20,10,20
38,10,40
56,9,35
58,9,45
32,9,34
40,12,60
45,9,40
41,15,40
42,13,40
59,6,30
19,10,40
58,10,20
42,9,40
20,9,40
