REGIONC,UR,KWH
2,1,18466
4,1,5148
1,1,2218
2,1,10015
1,1,2869
2,1,6387
1,1,11821
3,1,22928
1,1,9130
2,1,7474
4,1,2750
1,1,11807
4,1,9775
3,1,6335
4,1,4031
3,1,13020
3,2,2079
1,1,2477
4,1,6877
2,1,12497
4,1,12200
2,1,9187
1,1,13984
3,2,4413
2,1,19041
1,1,3125
2,2,11688
4,1,2170
3,1,2447
3,1,13137
1,1,11009
4,1,6925
2,2,32493
1,1,3222
3,1,20250
3,1,19950
3,1,36967
2,1,7435
3,1,31973
3,1,23414
2,1,10143
4,1,15219
3,2,12634
4,1,4818
2,2,8429
4,1,2840
3,1,4369
2,2,22070
3,1,14517
1,1,1634
2,1,1572
3,1,12914
1,1,3685
3,1,17752
4,1,7151
3,1,20079
3,1,14668
1,1,16129
2,1,4468
1,1,42687
2,1,22657
3,1,14287
3,1,8490
4,1,3305
4,1,8532
3,1,11649
4,1,4381
2,1,3070
4,1,9398
3,1,16186
4,1,6618
1,1,4230
3,2,9728
1,1,2058
3,1,27067
2,1,11226
1,1,4475
1,1,3223
2,2,6842
1,1,2729
3,1,3303
1,1,7376
2,1,1525
2,1,20840
3,1,7508
4,1,4118
4,2,15542
4,1,26876
3,1,18628
2,1,7954
3,1,6727
4,2,2624
1,1,7383
1,1,1815
3,1,13292
2,1,5453
4,2,16240
1,1,6729
3,2,10354
4,1,4847
3,1,18563
2,1,22836
2,1,9660
1,1,4148
3,2,12458
4,1,2771
1,1,6719
3,1,8052
3,1,8240
2,1,4069
4,1,3164
1,1,1243
2,1,22494
4,1,6851
3,1,15929
1,1,10453
1,1,5402
2,1,12410
3,1,5852
1,1,5785
3,2,17144
1,1,6548
1,1,5983
4,1,7767
3,2,13644
2,1,4693
1,1,4010
4,1,1781
4,2,35091
4,1,3149
3,1,18212
1,1,4501
3,2,10114
4,1,8936
4,2,8604
3,1,23981
3,1,7038
3,1,8537
4,1,3658
3,1,24166
2,2,24698
1,1,5876
4,1,11579
2,1,4641
2,2,12658
3,1,11797
3,1,10928
1,1,4150
3,1,28797
1,1,4647
3,2,28058
4,1,5649
3,2,13559
3,1,14598
3,2,14943
2,1,7089
1,1,3977
3,1,19055
3,1,1790
3,1,13374
2,1,8501
3,1,9630
3,1,11481
1,1,7852
2,1,5160
3,1,15459
3,1,10802
2,1,3386
3,1,18196
1,1,7770
4,1,15351
4,1,13161
1,1,3260
3,1,29395
1,1,3437
4,2,31247
3,1,11247
2,2,16164
2,1,7060
1,1,10156
4,1,5780
2,1,10805
3,2,10013
3,2,11162
1,1,12528
2,1,4750
4,1,5203
4,1,18944
3,1,30143
4,1,1719
2,1,2163
3,1,9381
4,1,13127
3,2,20510
4,1,6994
2,1,5433
3,1,4601
1,1,8572
3,1,11196
1,1,1959
3,2,11100
4,1,8075
3,1,21857
4,1,3319
3,1,6398
1,1,7345
4,1,13648
3,1,11963
4,1,6253
1,1,2818
1,2,20742
1,1,3255
4,1,17506
2,2,17821
4,1,5606
1,1,11823
3,1,14770
4,1,1977
3,1,13008
4,1,6742
2,1,15502
2,1,13974
4,1,4787
3,1,18577
3,1,27406
2,1,10317
4,1,4950
1,1,14137
1,1,12734
4,1,11426
4,1,10611
3,1,18038
4,1,9199
1,1,4045
2,1,2501
4,2,12694
3,2,23075
1,1,13744
3,2,21156
3,2,12322
4,1,28063
2,1,10333
1,1,15635
2,1,13820
3,1,10081
3,1,10134
1,1,3970
2,2,6867
2,1,7549
2,1,5614
2,1,14664
2,1,9899
1,1,11437
1,1,2133
4,1,2223
3,1,14225
4,1,2831
1,2,5635
2,1,7452
4,1,9083
1,1,2579
3,1,31634
4,1,4225
1,1,10400
1,1,5049
3,1,18471
4,1,4261
1,1,5820
1,1,6381
3,1,8274
3,1,7683
2,1,12067
3,1,13733
3,2,14273
4,1,4971
4,1,3496
1,2,10021
4,1,24859
2,1,7857
4,1,1877
1,1,7689
2,1,16157
1,1,19050
3,1,16357
4,1,5083
1,1,4431
3,1,16183
2,2,16449
3,2,15173
3,1,13835
3,2,3518
1,1,6278
4,1,5531
4,1,22442
2,1,11166
1,1,4904
4,1,1943
4,1,13981
1,1,5582
1,2,7644
2,1,13300
4,1,3518
3,1,13975
2,2,7189
3,1,7512
1,1,6774
4,1,7204
3,1,7476
4,1,34466
3,1,6260
1,1,8894
3,2,14973
2,1,15158
3,1,16420
4,1,14481
2,2,701
3,1,13258
2,2,9905
3,1,8622
3,2,16065
4,1,7517
1,1,7029
4,1,9427
3,2,26081
3,1,13470
3,1,4067
4,1,19593
3,1,20071
2,1,9814
3,1,17629
3,1,14505
2,1,6777
1,1,1887
3,1,15571
3,1,22567
2,2,6161
3,1,25811
3,2,19344
4,1,3237
3,1,9621
2,1,3028
4,1,1844
3,1,10965
2,1,5751
3,1,13549
4,1,6075
4,1,11538
1,1,15459
3,1,4117
1,2,10508
4,1,2631
3,1,26688
2,1,8044
2,1,11271
2,1,7003
3,1,22121
2,1,12862
2,2,24563
1,1,6139
1,1,8046
2,2,8234
1,1,4522
1,1,3579
1,2,22822
2,2,20791
4,1,4942
4,1,13453
3,1,27328
4,2,51043
2,2,12871
4,1,9362
3,1,8216
1,1,14577
2,2,5402
2,1,13830
2,2,17055
3,1,10626
2,1,14242
1,1,24977
3,1,19179
4,2,9433
2,1,5960
1,1,5354
4,1,4974
2,1,4210
4,1,9581
3,2,12483
4,1,4247
3,2,8504
2,1,5856
1,1,7337
3,2,12302
2,1,8272
2,1,15425
1,1,5884
4,1,6121
3,1,24880
2,1,41537
1,1,5273
3,1,10998
3,1,9848
3,1,27391
2,1,8267
1,1,7788
3,1,29817
3,1,4756
3,1,9250
2,2,16083
3,1,8147
2,1,9623
1,1,6981
4,1,19164
4,1,4485
3,1,8652
1,1,4298
4,1,6961
4,1,6875
3,1,4014
3,1,6826
2,1,10490
3,1,7903
2,1,8034
3,1,16327
2,1,3884
3,1,23070
2,1,2724
3,2,9897
1,1,6444
2,1,8507
3,1,10894
2,1,6285
3,1,21242
2,1,5861
4,1,6571
2,1,25851
1,1,8593
4,2,16984
3,2,9232
4,1,11494
1,1,5323
3,1,29408
4,1,34447
1,1,7738
1,1,7039
2,1,2574
1,1,5575
3,1,14133
2,1,5488
2,2,25019
3,1,21824
2,1,3776
4,1,7883
4,1,7314
3,1,8450
3,2,20078
3,1,27644
4,1,2185
2,1,3993
3,1,10822
4,1,9199
1,1,9210
3,1,11864
3,1,12926
1,1,7090
4,1,6450
3,2,13181
4,1,8246
3,1,23848
2,1,9060
3,1,9708
3,1,4130
4,1,10758
1,2,8937
1,1,4447
3,2,13666
3,1,19427
3,1,10998
3,1,7822
3,1,19697
1,1,7847
1,2,8720
1,1,4922
4,1,14121
4,1,8957
4,1,6150
1,1,4284
3,1,9007
4,1,1181
2,1,2309
4,1,2057
1,1,11628
2,1,8544
3,1,19712
2,2,9285
1,1,6705
2,1,12016
2,2,37083
1,1,4475
2,1,14562
2,1,27600
2,1,16254
2,1,7265
2,1,2943
1,1,3138
4,1,3608
4,1,3671
2,1,9243
4,1,4798
3,2,21322
2,1,20967
1,1,3214
4,1,3693
1,1,7366
3,1,18609
3,1,3552
1,1,12810
1,2,10487
1,1,2212
2,1,5269
3,1,11344
3,1,11650
4,1,16675
3,2,12748
1,1,1891
3,1,14590
1,1,3475
4,1,10280
3,2,5193
1,1,8493
2,1,5988
4,1,2240
4,1,4428
4,1,9240
2,1,8298
2,1,3325
3,1,16909
3,1,23220
3,1,9333
4,1,8323
3,2,18263
1,1,2895
4,1,13725
2,1,13897
3,1,10617
4,1,11563
1,1,3448
2,1,4976
4,1,3519
3,2,20770
2,2,4059
2,1,10627
1,1,2011
2,1,7889
3,2,14232
1,2,2777
2,2,33223
3,2,10053
3,1,11123
1,1,4291
1,2,3769
4,1,8989
4,1,18245
4,2,14608
3,1,4478
1,1,17093
1,1,3408
3,1,5689
2,2,24115
2,1,18216
4,1,8215
1,1,8964
2,1,7059
3,2,17901
3,1,16906
1,1,17167
1,1,5270
3,1,11721
3,1,14263
2,1,9189
3,2,17003
1,1,15323
1,1,9792
4,2,13152
4,1,5836
4,1,3686
2,2,16143
2,1,11666
1,1,6173
4,1,4737
2,1,11452
3,1,12851
3,2,23757
3,1,13569
2,1,10042
4,1,10606
2,1,14779
3,1,5428
2,1,4769
2,2,25800
1,1,11802
2,1,7450
4,1,4491
3,1,5380
1,1,6199
3,1,15167
3,2,19218
2,2,5226
3,1,15969
4,1,6595
1,1,6277
4,1,7863
1,1,4702
2,1,4028
1,1,2742
1,1,873
1,1,4243
4,1,11341
2,1,8526
3,1,6781
1,1,9956
4,1,8909
2,1,1345
4,1,27651
3,1,5775
4,1,4960
1,1,8520
3,1,29314
3,1,5985
1,1,5994
1,1,2705
2,2,13273
3,1,10230
2,2,16979
1,1,9002
2,2,20893
4,1,4050
4,1,3603
4,1,4518
2,1,7273
1,1,3160
3,2,22424
2,2,15944
2,1,6222
3,2,14869
3,2,23633
1,1,10352
4,1,8319
4,1,9305
4,1,8807
2,2,9752
3,2,23649
2,1,4182
4,1,11986
4,1,2087
1,1,5781
3,1,19243
2,1,13438
3,1,2725
4,1,7748
2,2,7776
1,2,8779
2,1,10809
1,1,3041
1,1,1187
2,2,9837
4,1,15074
2,1,10037
4,1,3499
1,1,13827
2,1,6885
3,1,10761
1,2,13667
2,1,3463
3,2,28935
4,1,5345
2,1,12501
3,1,4773
4,1,7904
4,1,3449
3,1,13502
3,1,25907
2,1,3115
3,1,15497
2,1,7407
2,2,17002
3,1,11575
4,1,3943
3,1,16768
4,2,10242
3,1,45837
4,1,4471
1,1,4153
2,1,8054
3,1,14798
3,2,29667
3,1,50566
3,1,11397
4,1,2393
1,1,2693
4,1,9106
1,1,9916
4,1,8892
3,1,11897
2,1,3310
3,1,7825
2,1,14768
3,1,8775
2,1,7425
4,1,4404
4,1,8469
3,1,14835
3,1,11717
1,1,2572
2,2,764
2,1,8909
4,1,10360
4,1,7070
3,2,19271
2,1,10019
4,1,6796
4,1,8205
1,1,7058
3,2,24271
2,1,15370
4,2,7382
1,1,7333
4,1,3203
1,2,4119
1,1,2045
3,1,23453
4,1,2334
3,2,17540
4,2,2256
3,1,18779
2,1,9575
2,2,23630
4,1,5448
4,2,22742
3,1,16758
2,2,10222
4,2,19060
2,1,10910
2,1,3633
3,1,29360
4,2,15941
1,2,4113
3,2,25087
3,1,20666
1,2,19200
1,2,12568
1,1,8581
2,1,5792
4,2,11682
3,1,11158
3,2,11765
1,1,3021
3,1,11014
3,1,36433
3,1,16980
4,1,4278
3,2,15855
2,1,2301
2,1,3070
1,1,7242
4,1,9994
4,1,21335
3,2,17925
2,1,4634
2,1,5196
2,1,12674
4,2,7525
2,1,19823
2,1,4530
4,1,14616
2,1,2651
3,1,18089
3,1,15684
4,1,8104
4,1,3955
3,1,15387
3,1,5795
4,1,8106
4,1,3244
2,1,6997
3,1,7461
3,2,6451
3,1,5826
2,1,2099
1,1,7027
3,1,10985
3,1,11033
4,1,2962
1,1,10833
2,1,7896
3,1,9713
2,1,11986
4,1,4991
3,2,14017
4,1,6563
3,1,21321
2,1,13656
3,1,3910
2,2,7323
4,1,30061
2,2,18869
3,1,13160
4,1,11295
2,1,10167
1,1,5268
2,1,7381
4,1,8736
4,1,9545
1,1,7341
2,2,13582
4,1,2875
4,1,4923
3,1,13789
3,1,18317
3,2,15863
2,1,4573
2,1,14117
3,1,19352
4,1,3566
1,1,3339
4,1,12493
3,1,16246
3,1,3750
3,1,8426
3,1,2419
4,1,17948
3,1,1974
2,2,18893
2,1,17907
2,2,3306
3,1,11087
2,1,10477
1,1,3882
1,1,11476
3,1,22076
1,1,6959
1,1,12853
3,1,11086
2,1,9123
2,1,22660
2,2,13663
4,1,6621
4,1,24513
3,2,21234
4,1,3354
1,1,12722
2,2,5133
3,1,17880
1,1,5883
3,1,4268
2,1,12995
2,1,10311
1,1,2531
2,1,9093
2,1,9283
3,2,20843
3,1,13645
1,2,9165
4,1,6354
3,1,7823
1,1,4529
2,1,4171
4,1,8279
1,1,10719
4,2,23001
3,1,7008
3,1,15445
4,1,6202
2,2,9129
3,1,8397
4,2,29569
3,2,8890
4,1,7637
3,1,14625
1,2,6198
3,1,10558
1,1,12792
1,1,4426
3,1,13086
2,2,11297
3,2,11233
3,2,14759
2,1,17984
4,1,9054
3,1,8305
1,1,4542
3,2,19038
2,2,20316
4,1,1081
3,1,20896
3,1,5620
3,1,17383
3,2,24212
4,1,11230
3,1,22587
3,2,23275
4,1,7175
3,1,10488
2,1,5957
2,1,9429
1,1,4843
3,1,7706
3,1,11137
3,1,13873
2,1,8187
3,1,15578
3,2,16172
3,1,11254
3,1,5598
3,2,48926
1,1,9398
2,2,41373
3,2,5982
3,1,24285
4,1,4852
4,1,2413
2,1,15552
4,1,1308
4,1,1119
4,1,4992
4,1,4801
3,1,4840
4,1,14706
2,1,5321
3,1,13031
1,1,5236
1,1,9649
3,1,17102
3,1,24387
4,1,16249
4,1,14996
4,2,11599
4,1,2900
1,1,6883
1,1,9560
3,1,20500
2,1,2869
2,1,14019
3,1,13531
3,1,55857
2,1,7037
3,1,18450
2,1,4500
1,2,24586
4,1,3643
3,1,15762
4,1,4947
2,1,5513
4,1,4606
3,1,13502
2,1,15589
4,1,5751
3,1,10226
3,1,20770
4,1,14017
1,1,5523
4,1,11321
1,1,701
2,1,10232
3,2,30686
2,1,22261
4,1,13717
4,1,10682
2,1,15923
1,1,8587
2,2,6988
3,1,14345
4,1,7219
4,1,8177
1,2,37580
2,2,9402
3,1,16092
3,1,12557
1,1,8357
4,1,5846
3,1,10602
1,1,14284
3,2,13439
4,1,2630
4,1,5131
2,1,13006
4,1,5239
3,2,21410
2,2,10199
4,1,5068
4,1,4038
4,1,6935
3,1,12139
4,1,4365
3,2,18139
3,1,10409
3,1,11327
3,1,44225
4,1,8251
4,1,12368
4,1,4407
3,2,4798
3,1,21228
3,2,7249
3,1,7515
2,1,9059
4,1,2317
3,1,21916
1,2,7283
4,1,10938
2,1,6473
3,1,10991
2,1,4575
3,1,21676
3,1,10844
3,1,5545
1,1,12262
2,1,14903
2,1,5666
2,2,15054
4,1,23972
2,1,9745
2,1,5460
3,2,26704
3,1,11204
3,2,4845
1,1,2145
3,1,20889
1,1,13546
1,1,5664
2,2,11867
2,1,4396
3,2,26169
1,2,13452
4,1,5002
2,1,3602
3,2,1731
2,1,3389
2,1,5549
2,1,24775
2,1,17037
1,1,4998
2,1,1280
4,1,3161
4,1,5836
4,1,5628
4,1,2517
4,1,6958
3,1,11618
3,1,10799
1,1,6751
2,1,7738
4,1,20031
3,1,39346
4,1,8703
3,1,5819
2,2,25560
2,1,11327
1,1,5371
1,1,5617
1,1,3985
