,REGIONC,UR,KWH
0,2,1,18
1,4,1,5
2,1,1,2
3,2,1,10
4,1,1,2
5,2,1,6
6,1,1,11
7,3,1,22
8,1,1,9
9,2,1,7
10,4,1,2
11,1,1,11
12,4,1,9
13,3,1,6
14,4,1,4
15,3,1,13
16,3,2,2
17,1,1,2
18,4,1,6
19,2,1,12
20,4,1,12
21,2,1,9
22,1,1,13
23,3,2,4
24,2,1,19
25,1,1,3
26,2,2,11
27,4,1,2
28,3,1,2
29,3,1,13
30,1,1,11
31,4,1,6
32,2,2,32
33,1,1,3
34,3,1,20
35,3,1,19
36,3,1,36
37,2,1,7
38,3,1,31
39,3,1,23
40,2,1,10
41,4,1,15
42,3,2,12
43,4,1,4
44,2,2,8
45,4,1,2
46,3,1,4
47,2,2,22
48,3,1,14
49,1,1,1
50,2,1,1
51,3,1,12
52,1,1,3
53,3,1,17
54,4,1,7
55,3,1,20
56,3,1,14
57,1,1,16
58,2,1,4
59,1,1,42
60,2,1,22
61,3,1,14
62,3,1,8
63,4,1,3
64,4,1,8
65,3,1,11
66,4,1,4
67,2,1,3
68,4,1,9
69,3,1,16
70,4,1,6
71,1,1,4
72,3,2,9
73,1,1,2
74,3,1,27
75,2,1,11
76,1,1,4
77,1,1,3
78,2,2,6
79,1,1,2
80,3,1,3
81,1,1,7
82,2,1,1
83,2,1,20
84,3,1,7
85,4,1,4
86,4,2,15
87,4,1,26
88,3,1,18
89,2,1,7
90,3,1,6
91,4,2,2
92,1,1,7
93,1,1,1
94,3,1,13
95,2,1,5
96,4,2,16
97,1,1,6
98,3,2,10
99,4,1,4
100,3,1,18
101,2,1,22
102,2,1,9
103,1,1,4
104,3,2,12
105,4,1,2
106,1,1,6
107,3,1,8
108,3,1,8
109,2,1,4
110,4,1,3
111,1,1,1
112,2,1,22
113,4,1,6
114,3,1,15
115,1,1,10
116,1,1,5
117,2,1,12
118,3,1,5
119,1,1,5
120,3,2,17
121,1,1,6
122,1,1,5
123,4,1,7
124,3,2,13
125,2,1,4
126,1,1,4
127,4,1,1
128,4,2,35
129,4,1,3
130,3,1,18
131,1,1,4
132,3,2,10
133,4,1,8
134,4,2,8
135,3,1,23
136,3,1,7
137,3,1,8
138,4,1,3
139,3,1,24
140,2,2,24
141,1,1,5
142,4,1,11
143,2,1,4
144,2,2,12
145,3,1,11
146,3,1,10
147,1,1,4
148,3,1,28
149,1,1,4
150,3,2,28
151,4,1,5
152,3,2,13
153,3,1,14
154,3,2,14
155,2,1,7
156,1,1,3
157,3,1,19
158,3,1,1
159,3,1,13
160,2,1,8
161,3,1,9
162,3,1,11
163,1,1,7
164,2,1,5
165,3,1,15
166,3,1,10
167,2,1,3
168,3,1,18
169,1,1,7
170,4,1,15
171,4,1,13
172,1,1,3
173,3,1,29
174,1,1,3
175,4,2,31
176,3,1,11
177,2,2,16
178,2,1,7
179,1,1,10
180,4,1,5
181,2,1,10
182,3,2,10
183,3,2,11
184,1,1,12
185,2,1,4
186,4,1,5
187,4,1,18
188,3,1,30
189,4,1,1
190,2,1,2
191,3,1,9
192,4,1,13
193,3,2,20
194,4,1,6
195,2,1,5
196,3,1,4
197,1,1,8
198,3,1,11
199,1,1,1
200,3,2,11
201,4,1,8
202,3,1,21
203,4,1,3
204,3,1,6
205,1,1,7
206,4,1,13
207,3,1,11
208,4,1,6
209,1,1,2
210,1,2,20
211,1,1,3
212,4,1,17
213,2,2,17
214,4,1,5
215,1,1,11
216,3,1,14
217,4,1,1
218,3,1,13
219,4,1,6
220,2,1,15
221,2,1,13
222,4,1,4
223,3,1,18
224,3,1,27
225,2,1,10
226,4,1,4
227,1,1,14
228,1,1,12
229,4,1,11
230,4,1,10
231,3,1,18
232,4,1,9
233,1,1,4
234,2,1,2
235,4,2,12
236,3,2,23
237,1,1,13
238,3,2,21
239,3,2,12
240,4,1,28
241,2,1,10
242,1,1,15
243,2,1,13
244,3,1,10
